,mean,std,sem
,Calibration Error,Calibration Error,Calibration Error
0,0.06721420329437669,0.04184070122725398,0.024156740116637793
1,0.0820526285145664,0.014890547552007001,0.008597061637532162
2,0.0,,
3,0.047193986598069115,0.017598226529928734,0.010160340824314369
4,0.12068147654132794,0.056598923021522723,0.03267740344231905
5,0.08676637396256774,0.012852401103552813,0.007420337236869263
6,0.0,,
7,0.06985250995088076,0.030648308572058632,0.017694809204284765
8,0.15668133098323173,0.0474210516246886,0.0273785569207691
9,0.1143942798314702,0.020161458920487714,0.011640223734999164
10,0.0,,
11,0.10315556984671409,0.032395552962845506,0.018703581223645634
12,0.17106419376693763,0.040021784788877836,0.023106588221307893
13,0.13511385818936314,0.022310304604650385,0.01288086036919745
14,0.0,,
15,0.12383062330623307,0.032937145868819594,0.019016270033700964
16,0.1727498597349255,0.0241656585589169,0.013952049474135256
17,0.13533293900321816,0.02298374373296672,0.013269670631213709
18,0.0,,
19,0.1370023104039634,0.028788488676902327,0.01662104168717205
20,0.17380655329014227,0.013339240454938376,0.00770141406744382
21,0.12509599688770326,0.0125081891349396,0.007221606364132133
22,0.0,,
23,0.1535987571985095,0.015861530454255184,0.009157658877523678
24,0.17992711509146342,0.02275627030568817,0.013138338786740953
25,0.1010008177718496,0.003912460841555171,0.0022588603200657436
26,0.0,,
27,0.14246624110772357,0.006884821035357226,0.003974953278085892
28,0.18962219734502037,0.0274924042728842,0.01587274700761971
29,0.09769270568682248,0.005538047757167955,0.003197393363385925
30,0.0,,
31,0.1399178628895664,0.0023252370258729817,0.0013424762228174457
32,0.20180700584349595,0.019828560461045013,0.011448024719827107
33,0.1061482654767954,0.01488026579681991,0.008591125463407156
34,0.0,,
35,0.1476841495172764,0.004907070618316108,0.0028330985424173086
